,Predicted,SE,lower,upper,LU,FI,EE,V,OP,BS
722,0.938633581,0.218741452,0.594470092,1.482047644,RESIDENTIAL,0,0,F,0.063714373,3
723,2.292424103,0.421662338,1.598553731,3.287476779,RESIDENTIAL,10,9,B,1.284584474,5
724,1.694036737,0.369596604,1.104617343,2.597967961,RESIDENTIAL,8,1,F,0.143441863,4
725,1.883021724,0.410382482,1.228417361,2.886454495,BUSINESS,10,44,B,0,2
726,0.823487816,0.295757951,0.407329407,1.66482501,RESERVE,0,10,A,0,0
727,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
728,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
729,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
730,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
731,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
732,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
766,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
767,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
768,1.472611871,1.156823734,0.315805096,6.86684841,RESERVE,0,0,C,0,0
786,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
787,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
788,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
789,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
790,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
791,0.360576226,0.177876469,0.137116404,0.948210507,RESERVE,0,0,D,0,5
792,1.170453024,0.475739679,0.527687177,2.596159886,GREENERY,0,0,F,0,0
793,0.420758592,0.198245821,0.167100766,1.059467272,GREENERY,0,0,D,0,0
794,0.420758592,0.198245821,0.167100766,1.059467272,GREENERY,0,0,D,0,0
795,0.420758592,0.198245821,0.167100766,1.059467272,GREENERY,0,0,D,0,0
796,0.482473499,0.1869833,0.225729895,1.031235484,TRANSPORTATION,0,0,F,0,0
797,0.934690454,0.73286709,0.20103064,4.345836253,TRANSPORTATION,0,0,C,0,0
800,1.057704363,0.219544552,0.704178759,1.588713812,BUSINESS,0,5,B,0,4
801,0.991162987,0.203358828,0.662983023,1.481793699,BUSINESS,0,0,B,0.180067249,2
802,1.165217926,0.244675901,0.772092517,1.75851052,BUSINESS,1,31,B,0,4
803,0.315937395,0.152765206,0.122467135,0.81504673,RESERVE,0,0,D,0.117836267,2
804,0.425791643,0.195275734,0.173308849,1.046100783,BUSINESS,1,0,D,0,1
805,0.297239683,0.132093783,0.124403181,0.710202331,RESIDENTIAL,0,0,D,0.200011124,0
806,2.48005546,0.574294688,1.575261598,3.904542009,RESIDENTIAL,5,21,F,1.455291043,7
807,5.739563864,1.364895296,3.601298831,9.14742011,RESIDENTIAL,21,95,F,1.077980166,4
808,1.597007984,0.316845497,1.082503164,2.356052701,RESIDENTIAL,4,0,B,1.397788568,5
809,1.612111846,0.367742838,1.0309212,2.520953692,RESIDENTIAL,5,136,B,0.80712964,4
810,1.24544868,0.230641049,0.866351792,1.790430202,RESIDENTIAL,6,34,B,0.144242333,4
811,1.77538139,0.37315422,1.175936679,2.680398645,RESIDENTIAL,8,9,B,0.07986092,9
812,1.052257153,0.215481531,0.704389028,1.571922719,RESIDENTIAL,2,28,B,0.087151548,6
813,0.704931916,0.241227695,0.360467416,1.378568446,RESERVE,2,15,B,0,0
814,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
815,1.472611871,1.156823734,0.315805096,6.86684841,RESERVE,0,0,C,0,0
816,0.760140643,0.27646188,0.372660513,1.550509854,RESERVE,0,0,F,0,0
817,0.811263922,0.296021255,0.396796754,1.658655583,RESERVE,1,1,F,0,0
818,0.971849263,0.292616511,0.538652302,1.753433498,RESIDENTIAL,11,18,E,0.219134284,3
819,2.236217048,0.374206642,1.610922392,3.104225698,RESIDENTIAL,13,29,B,0.452248471,5
820,2.072469984,0.375105788,1.453534694,2.954956529,RESIDENTIAL,11,88,B,0.75416828,3
821,2.750106973,0.670497094,1.705376,4.434850943,RESIDENTIAL,12,74,A,0,6
822,0.629604063,0.14866323,0.396351313,1.000126059,RESIDENTIAL,0,6,B,0,0
823,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
824,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
825,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
826,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
827,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
828,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
860,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
861,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
862,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
863,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
864,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
880,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
881,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
883,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
884,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
885,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
886,0.273604947,0.132700107,0.105751341,0.707883855,RESERVE,0,1,D,0,0
887,0.305311112,0.147961509,0.11809425,0.789326109,RESERVE,0,0,D,0,2
888,0.561115315,0.252998418,0.231877286,1.357831994,GREENERY,0,0,E,0,0
889,0.561115315,0.252998418,0.231877286,1.357831994,GREENERY,0,0,E,0,0
890,0.420758592,0.198245821,0.167100766,1.059467272,GREENERY,0,0,D,0,0
891,0.420758592,0.198245821,0.167100766,1.059467272,GREENERY,0,0,D,0,0
892,0.934690454,0.73286709,0.20103064,4.345836253,TRANSPORTATION,0,0,C,0,0
893,0.934690454,0.73286709,0.20103064,4.345836253,TRANSPORTATION,0,0,C,0,0
897,0.849428766,0.186028287,0.552981284,1.304798643,BUSINESS,0,7,B,0,0
898,0.718956169,0.241751215,0.371948907,1.389701549,RESERVE,0,0,B,0,3
899,0.455919857,0.159647901,0.229522976,0.9056301,TRANSPORTATION,0,7,B,0.157299625,2
900,1.115387154,0.297662921,0.661097973,1.881851942,BUSINESS,0,2,F,0.004145813,1
901,0.988405253,0.468517804,0.390349568,2.502743755,GREENERY,0,1,E,1.754623339,1
902,4.407692801,0.995104799,2.831648936,6.860933778,RESIDENTIAL,18,46,F,0.469131277,7
903,0.872480248,0.183571254,0.577645539,1.317800851,RESIDENTIAL,1,38,B,0,4
904,0.792982729,0.166815398,0.525050601,1.197640014,RESIDENTIAL,0,13,B,0,4
905,0.868702422,0.179489713,0.579425119,1.302401075,RESIDENTIAL,0,7,B,0.14932055,5
906,1.259630474,0.283139414,0.810793567,1.956933298,RESIDENTIAL,3,52,B,0,8
907,0.955457674,0.18883382,0.648608304,1.407474065,RESIDENTIAL,3,9,B,0,4
908,0.770823242,0.278067862,0.380094126,1.563214031,RESERVE,0,11,F,0,0
909,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
910,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
911,0.760140643,0.27646188,0.372660513,1.550509854,RESERVE,0,0,F,0,0
912,0.760140643,0.27646188,0.372660513,1.550509854,RESERVE,0,0,F,0,0
913,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
914,3.537435027,0.677126932,2.430824524,5.14781978,RESIDENTIAL,19,120,B,0.124291167,6
915,2.546874828,0.441453082,1.813291999,3.577234881,RESIDENTIAL,17,42,B,0.155221653,4
916,4.345696706,1.256015767,2.46627065,7.657342821,RESIDENTIAL,13,208,B,1.003384393,10
917,1.30505941,0.247772421,0.899549723,1.893369561,RESIDENTIAL,6,2,B,0.063083294,6
918,1.637350333,0.359130372,1.065227111,2.516755426,RESIDENTIAL,8,7,F,0,4
919,0.379496652,0.16561082,0.161341838,0.892624692,RESIDENTIAL,3,0,D,0,2
920,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
921,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
922,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
923,0.144398747,0.149383403,0.019009835,1.096853209,GREENERY,0,0,G,0,0
924,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
925,1.472611871,1.156823734,0.315805096,6.86684841,RESERVE,0,0,C,0,0
926,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
927,0.059522738,0.064178983,0.00719275,0.492573236,TRANSPORTATION,0,0,G,0,0
938,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
955,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
956,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
957,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
958,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
959,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
960,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
976,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
977,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
980,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
981,0.608762563,0.210238816,0.309372536,1.197882212,RESERVE,0,0,B,0,0
982,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
983,1.461144918,0.58085669,0.670363913,3.184754475,GREENERY,0,0,F,0,4
984,1.170453024,0.475739679,0.527687177,2.596159886,GREENERY,0,0,F,0,0
985,0.561115315,0.252998418,0.231877286,1.357831994,GREENERY,0,0,E,0,0
986,0.420758592,0.198245821,0.167100766,1.059467272,GREENERY,0,0,D,0,0
987,1.170453024,0.475739679,0.527687177,2.596159886,GREENERY,0,0,F,0,0
988,1.173426685,0.476884088,0.529084607,2.602476368,GREENERY,0,2,F,0,0
989,1.170453024,0.475739679,0.527687177,2.596159886,GREENERY,0,0,F,0,0
992,0.841918517,0.184526563,0.54790959,1.293692979,BUSINESS,0,0,B,0,0
993,0.945461085,0.196170072,0.629551314,1.419894841,BUSINESS,0,4,B,0,2
994,0.322721157,0.156929181,0.124427052,0.837028148,RESERVE,0,0,D,0,3
995,0.521703733,0.228921271,0.22076006,1.232898672,TRANSPORTATION,3,10,E,1.334336212,4
996,1.558880125,0.641004637,0.696309622,3.489980844,GREENERY,0,0,F,0.987032986,0
997,0.937363354,0.39592457,0.409615632,2.145059878,GREENERY,0,0,B,0,0
998,0.097954855,0.081330097,0.019243724,0.498612085,COMMERCIAL,2,6,D,0.800112459,2
999,0.273258047,0.132573568,0.105585668,0.707197873,RESERVE,0,0,D,0,0
1000,0.297616436,0.143818558,0.115432175,0.767338424,RESERVE,0,0,D,0.294098165,0
