layer,LU,FI,EE,V,OP,BS
1134,RESERVE,0,0,G,0,0
1135,RESERVE,0,0,G,0,0
1136,RESERVE,0,0,G,0,0
1137,GREENERY,0,0,G,0,0
1138,GREENERY,0,0,G,0,0
1139,GREENERY,0,0,G,0,0
1141,RESERVE,0,0,G,0,0
1142,RESERVE,0,0,G,0,0
1143,RESERVE,0,0,G,0,0
1146,RESERVE,0,0,G,0,0
1147,RESERVE,0,0,F,0,0
1148,RESERVE,0,0,F,0,0
1149,RESERVE,0,0,D,0,0
1150,RESERVE,0,0,G,0,0
1151,RESERVE,0,0,D,0,0
1152,RESERVE,0,0,D,0,0
1167,RESERVE,0,0,G,0,0
1168,RESERVE,0,0,D,0,0
1169,RESERVE,0,0,D,0,0
1170,RESERVE,0,0,D,0,0
1171,RESERVE,0,0,D,0,0
1172,RESERVE,0,0,D,0,0
1173,RESERVE,0,0,D,0,0
1174,RESERVE,0,0,D,0,4
1175,RESERVE,0,0,D,0,0
1176,RESERVE,0,0,D,0,0
1177,RESERVE,0,1,D,0,0
1178,GREENERY,0,0,D,0,0
1179,RESERVE,0,0,D,0,0
1180,GREENERY,0,0,D,0,0
1183,BUSINESS,0,10,B,0,0
1184,BUSINESS,0,1,B,1014.252617,0
1185,BUSINESS,0,5,A,0,2
1186,RESIDENTIAL,1,0,A,0,3
1187,RESIDENTIAL,2,0,D,125.464064,0
1188,RESERVE,0,0,D,542.652222,0
1189,RESERVE,0,0,D,951.328195,0
1190,RESERVE,0,0,D,396.402454,0
1191,RESERVE,0,0,D,0,0
1192,RESERVE,0,0,D,0,0
1193,RESERVE,0,0,D,0,0
1194,RESERVE,0,0,D,0,0
1195,RESERVE,0,1,D,0,2
1196,TRANSPORTATION,0,0,B,0,1
1197,RESERVE,0,0,F,322.325791,1
1198,RESERVE,0,0,D,0,2
1199,GREENERY,0,3,F,0,0
1200,GREENERY,0,0,F,0,0
1201,GREENERY,0,0,F,0,2
1202,RESERVE,0,0,F,0,0
